5002569	Kuu on kirkas	Eigenschaft mit „sein“	kuu ist das Subjekt („der Mond“), on das Verb („ist“) und kirkas die Eigenschaft („hell“). Finnisch braucht hier keinen Artikel wie „der“.
1971964	On liian kylmä	Unpersönlicher Ausdruck	Ein deutsches „es“ wird hier nicht eigens ausgedrückt: on liian kylmä = „es ist zu kalt“. liian bedeutet „zu“ vor einer Eigenschaft.
5788816	Kiinnostavaa	Verkürzter Ausruf	kiinnostavaa ist der Partitiv von kiinnostava („interessant“). Die Form bewertet hier eine Sache oder Situation: „Interessant!“; ein ganzer Satz ist nicht nötig.
7499245	Pahoittelut tästä	Entschuldigung mit Bezug	pahoittelut ist eine feste Entschuldigungsformel im Plural. tästä bedeutet „dafür / wegen dieser Sache“ und ist eine Form von tämä („dies“).
6950818	Hyvä huomio	Adjektiv vor dem Nomen	hyvä beschreibt huomio: „gute Beobachtung / guter Hinweis“. Beide Wörter stehen hier im Nominativ Singular; ein Verb ist in diesem kurzen Kommentar nicht nötig.
6941744	Mukavaa koulupäivää	Wunsch im Partitiv	Bei guten Wünschen steht das Gewünschte häufig im Partitiv: mukavaa koulupäivää = „einen schönen Schultag“. Adjektiv und Nomen tragen beide die passende Fallform.
7665547	Tämä on sairaala	Etwas benennen	tämä = „dies/das“, on = „ist“, sairaala = „Krankenhaus“. Finnisch hat keinen unbestimmten Artikel; „ein“ wird aus dem Zusammenhang ergänzt.
7632431	Kaksi aikuistenlippua	Zahl und Partitiv Singular	Nach kaksi („zwei“) steht das gezählte Nomen hier im Partitiv Singular: aikuistenlippu → aikuistenlippua. Obwohl zwei gemeint sind, steht das Nomen nicht im Plural.
7459500	Nimi ja osoite	Verkürzte Bitte	ja verbindet die beiden Nomen: „Name und Adresse“. Mit kiitos entsteht eine höfliche Kurzform einer Bitte, ohne dass ein vollständiger Verbsatz nötig ist.
3215025	Anteeksi	Feste Höflichkeitsformel	anteeksi wird als eigenständige Entschuldigung oder höfliche Einleitung gebraucht: „Entschuldigung!“. Lerne es zunächst als ganze Wendung.
1614474	Kiitos	Feste Höflichkeitsformel	kiitos kann allein „Danke!“ bedeuten. In einer Bestellung kann dieselbe Formel auch einer höflichen Bitte entsprechen: „…, bitte“.
752738	Näkemiin	Feste Abschiedsformel	näkemiin ist eine feste Wendung für „auf Wiedersehen“. Sie hängt mit nähdä („sehen“) zusammen; zum Einstieg lernst du sie am besten als ganze Formel.
879595	Tuolla on poika	Es gibt / dort ist	tuolla nennt zuerst den Ort („dort“), danach folgen on („ist“) und die neu eingeführte Person. Ein zusätzliches finnisches Wort für „es“ wird nicht gebraucht.
3756698	Hienoa työtä	Lob im Partitiv	hienoa und työtä stehen im Partitiv Singular: „tolle Arbeit!“. työ verändert dabei seinen Stamm; die beiden Wörter passen im Fall zusammen.
1012592	Entä sinä	Verkürzte Rückfrage	entä leitet eine Rückfrage oder ein neues Thema ein: „und du? / was ist mit dir?“. Das aus dem Gespräch bekannte Verb wird weggelassen.
3170244	On keskiyö	Zeitangabe ohne „es“	„Es ist Mitternacht“ kommt im Finnischen ohne ein ausgesprochenes Subjekt aus: on keskiyö. on ist die dritte Person Singular von olla.
2757289	On pilvistä	Wetterausdruck	pilvistä ist die Partitivform von pilvinen („bewölkt“). Wetter und Umgebungszustände werden oft mit on + Partitiv beschrieben, ohne ein Wort für „es“.
2746013	On joulu	Zeitangabe ohne „es“	„Es ist Weihnachten“ heißt on joulu. Das deutsche „es“ hat hier kein eigenes finnisches Gegenstück im Satz.
13785175	Kivi on kova	Eigenschaft im Nominativ	kivi ist ein einzelner zählbarer Gegenstand („Stein“). Das beschreibende Adjektiv kova („hart“) steht hier im Nominativ Singular.
13678361	Ruusu on kukka	Etwas einordnen	Der Satz ordnet ruusu („Rose“) der Gruppe kukka („Blume“) zu. Beide Nomen stehen im Nominativ Singular; Artikel werden nicht verwendet.
13622687	Kahvi on kylmää	Eigenschaft eines Stoffes	kahvi meint hier Kaffee als Stoff, keine einzelne abgegrenzte Sache. Deshalb steht das beschreibende Adjektiv im Partitiv: kylmä → kylmää („kalt“).
13434578	Tämä on viivoitin	Etwas benennen	tämä („dies/das“) zeigt auf eine Sache, on verbindet sie mit ihrer Bezeichnung viivoitin („Lineal“). Ein Wort für den deutschen Artikel „ein“ ist nicht nötig.
8620816	Olepa hyvä	Höfliche Wendung	ole ist die Aufforderungsform von olla. -pa verleiht der Wendung eine gesprächsbezogene Nuance; olepa hyvä wird als „bitte schön“ gebraucht.
5320526	Hyvä tietää	Verkürzte Bewertung	tietää ist die Grundform „wissen“. Hyvä tietää bedeutet „gut zu wissen“; die kurze Wendung lässt ein ausdrückliches „das ist“ weg.
5550501	On poikkeuksia	Unbestimmte Mehrzahl	poikkeuksia ist der Partitiv Plural von poikkeus („Ausnahme“). „Es gibt Ausnahmen“ nennt keine bestimmte abgeschlossene Gruppe; das Verb bleibt hier on im Singular.
7591744	se on valmis	Zustand beschreiben	se ist „es/das“, on „ist“ und valmis „fertig/bereit“. Das Adjektiv steht hier im Nominativ Singular.
7288062	Tomin radio	Besitzer im Genitiv	Tomi → Tomin: Die Endung -n zeigt hier den Besitzer. Tomin radio bedeutet „Tomis Radio“. on rikki ist die feste Verbindung „ist kaputt“.
7288052	Tomin äiti	Besitzer im Genitiv	Tomin ist der Genitiv von Tomi: „Tomis“. Er steht vor äiti („Mutter“) und zeigt an, wessen Mutter gemeint ist.
7082332	Hän on todella kaunis	Pronomen ohne Geschlecht	hän kann „er“ oder „sie“ heißen; das Pronomen unterscheidet kein Geschlecht. todella verstärkt das Adjektiv kaunis: „wirklich schön“.
335657	Suomen pääkaupunki	Genitiv vor dem Nomen	Suomi → Suomen: „Finnlands“. Suomen pääkaupunki heißt „Finnlands Hauptstadt“. mikä fragt hier nach ihrer Identität: „welche/was?“.
6633712	oppii	Präsens oder Vergangenheit	oppii heißt „er/sie lernt“, oppi heißt „er/sie lernte“. Der doppelte Vokal unterscheidet hier Gegenwart und Vergangenheit; Grundform ist oppia.
1960255	tulokseen	Adjektiv mit festem Fall	tulos → tulokseen ist der Illativ. tyytyväinen verlangt diese Form für das, womit jemand zufrieden ist: tyytyväinen tulokseen = „mit dem Ergebnis zufrieden“.
3569346	isona	Zustand mit -na/-nä (Essiv)	iso → isona bedeutet hier „wenn du groß bist“. Der Essiv beschreibt eine Rolle oder einen Zustand; haluat olla heißt „du willst sein/werden“.
