sentence_id	index	token	lemma	meaning	form	here	parts	pos	case	number
335577	0	En	ei	nicht (Verneinungsverb)	Verneinungsverb · en = ich nicht	ich … nicht		kieltosana		singular
335577	1	ole	olla	sein	Verb · Verneinungsform (nach ei)	habe (bin)		teonsana		singular
335577	2	voinut	voida	können	Verbform · Partizip Perfekt aktiv (-nut/-nyt)	gekonnt		laatusana	nimento	singular
335577	3	käydä	käydä	gehen, besuchen	Verb · Grundform (Infinitiv)			teonsana		
335577	4	koulussa	koulu	Schule	Nomen · Inessiv „in“ Singular	in der Schule		nimisana	sisaolento	singular
335577	5	viikkoon	viikko	Woche	Nomen · Illativ „in … hinein“ Singular	(seit) einer Woche		nimisana	sisatulento	singular
335579	0	Minun	minä	ich	Pronomen · Genitiv Singular	(mir) → ich (muss)		asemosana	omanto	singular
335579	1	täytyy	täytyä	müssen	Verb · 3. Person Sg. (hän) · Präsens	(es) muss → ich muss		teonsana		singular
335579	2	mennä	mennä	gehen	Verb · Grundform (Infinitiv)			teonsana		
335579	3	nukkumaan	nukkua	schlafen	Verb · 3. Infinitiv -maan/-mään „(um) zu“	schlafen (gehen)		teonsana	sisatulento	singular
335605	0	Minulla	minä	ich	Pronomen · Adessiv „auf, bei“ Singular	bei mir → ich habe		asemosana	ulkoolento	singular
335605	1	ei	ei	nicht (Verneinungsverb)	Verneinungsverb · ei = er/sie/es nicht	es … nicht → (ich habe) nicht		kieltosana		singular
335605	2	ole	olla	sein	Verb · Verneinungsform (nach ei)	ist → habe		teonsana		singular
335605	3	mitään	mikään	(nicht) irgendetwas	Pronomen · Partitiv Singular	nichts		asemosana	osanto	singular
335605	4	salattavaa	salata	verbergen	Verbform · Partizip Präsens passiv (-tava/-tävä) · Partitiv Singular	zu Verbergendes		laatusana	osanto	singular
335643	0	Meidän	me	wir	Pronomen · Genitiv Plural	unser		asemosana	omanto	plural
