# priority<TAB>exact forms<TAB>title<TAB>German explanation
1	minulla on|minulla oli	Besitz ausdrücken	minulla ist die Adessivform von minä („ich“). Mit on entsteht „ich habe“, mit oli „ich hatte“: Finnisch formuliert Besitz wörtlich als „bei mir ist/war“. Mit einem Befindenswort kann die Konstruktion auch „mir ist/war …“ bedeuten.
1	sinulla on|sinulla oli	Besitz ausdrücken	sinulla bedeutet wörtlich „bei dir“. sinulla on heißt „du hast“, sinulla oli „du hattest“. olla steht hier in der dritten Person Singular. Mit einer Befindensangabe kann die Konstruktion auch „dir ist/war …“ bedeuten.
1	meillä on|meillä oli	Besitz ausdrücken	meillä ist die Adessivform von me („wir“). meillä on bedeutet „wir haben“, meillä oli „wir hatten“; das Verb steht trotz mehrerer Besitzer im Singular. Mit einem Befindenswort kann auch „uns ist/war …“ gemeint sein.
1	tomilla on|tomilla oli	Besitz ausdrücken	Tomi → Tomilla: Der Besitzer steht im Adessiv auf -lla. Tomilla on bedeutet „Tomi hat“, Tomilla oli „Tomi hatte“. Mit einer Befindensangabe kann auch „Tomi ist/war …“ gemeint sein.
1	minulla ei ole|meillä ei ole|sinulla ei ole|tomilla ei ole	Verneinter Besitz	Besitzerform + ei ole bedeutet „nicht haben“. Die verneinte Sache steht gewöhnlich im Partitiv, etwa rahaa („Geld“).
1	minun täytyy|sinun täytyy|meidän täytyy|hänen täytyy|tomin täytyy	Müssen mit Genitiv	Die verpflichtete Person steht im Genitiv: etwa minun („ich“ in dieser Konstruktion). täytyy bleibt unverändert; das anschließende Tätigkeitsverb steht im Infinitiv.
1	minun pitää|sinun pitää|meidän pitää|hänen pitää|tomin pitää	Verpflichtung mit pitää	Genitiv + pitää + Infinitiv bedeutet „müssen“. Hier geht es um eine Verpflichtung. Das ist eine andere Konstruktion als pitää jostakin („etwas mögen“).
1	ei tarvitse|en tarvitse|et tarvitse	Nicht müssen oder nicht brauchen	Die Verneinung von tarvita bedeutet mit einem Nomen „nicht brauchen“, vor einem Infinitiv „nicht müssen“. „Nicht müssen“ ist keine Verbotsform wie „nicht dürfen“.
1	voisitko	Höfliche Frage	voisitko ist der Konditional von voida mit der du-Endung -t und der Fragepartikel -ko: „könntest du?“. Vergleiche voitko („kannst du?“).
1	haluaisitko	Höfliche Frage	haluta → haluaisitko: „möchtest du?“. -isi- kennzeichnet den Konditional, -t die zweite Person Singular und -ko die Frage.
