# lemma; German meaning; explicit present 1sg,2sg,3sg,1pl,2pl,3pl; past 1sg,3sg
asua;wohnen;asun,asut,asuu,asumme,asutte,asuvat;asuin,asui
haluta;wollen;haluan,haluat,haluaa,haluamme,haluatte,haluavat;halusin,halusi
tarvita;brauchen;tarvitsen,tarvitset,tarvitsee,tarvitsemme,tarvitsette,tarvitsevat;tarvitsin,tarvitsi
vihata;hassen;vihaan,vihaat,vihaa,vihaamme,vihaatte,vihaavat;vihasin,vihasi
rakastaa;lieben;rakastan,rakastat,rakastaa,rakastamme,rakastatte,rakastavat;rakastin,rakasti
odottaa;warten/erwarten;odotan,odotat,odottaa,odotamme,odotatte,odottavat;odotin,odotti
mennä;gehen;menen,menet,menee,menemme,menette,menevät;menin,meni
tulla;kommen;tulen,tulet,tulee,tulemme,tulette,tulevat;tulin,tuli
syödä;essen;syön,syöt,syö,syömme,syötte,syövät;söin,söi
juoda;trinken;juon,juot,juo,juomme,juotte,juovat;join,joi
puhua;sprechen;puhun,puhut,puhuu,puhumme,puhutte,puhuvat;puhuin,puhui
tehdä;machen/tun;teen,teet,tekee,teemme,teette,tekevät;tein,teki
ostaa;kaufen;ostan,ostat,ostaa,ostamme,ostatte,ostavat;ostin,osti
antaa;geben;annan,annat,antaa,annamme,annatte,antavat;annoin,antoi
ottaa;nehmen;otan,otat,ottaa,otamme,otatte,ottavat;otin,otti
saada;bekommen/dürfen;saan,saat,saa,saamme,saatte,saavat;sain,sai
voida;können;voin,voit,voi,voimme,voitte,voivat;voin,voi
osata;können/beherrschen;osaan,osaat,osaa,osaamme,osaatte,osaavat;osasin,osasi
tietää;wissen;tiedän,tiedät,tietää,tiedämme,tiedätte,tietävät;tiesin,tiesi
tuntea;kennen/fühlen;tunnen,tunnet,tuntee,tunnemme,tunnette,tuntevat;tunsin,tunsi
nähdä;sehen;näen,näet,näkee,näemme,näette,näkevät;näin,näki
näyttää;zeigen/aussehen;näytän,näytät,näyttää,näytämme,näytätte,näyttävät;näytin,näytti
vaikuttaa;wirken/beeinflussen;vaikutan,vaikutat,vaikuttaa,vaikutamme,vaikutatte,vaikuttavat;vaikutin,vaikutti
kuolla;sterben;kuolen,kuolet,kuolee,kuolemme,kuolette,kuolevat;kuolin,kuoli
elää;leben;elän,elät,elää,elämme,elätte,elävät;elin,eli
työskennellä;arbeiten;työskentelen,työskentelet,työskentelee,työskentelemme,työskentelette,työskentelevät;työskentelin,työskenteli
matkustaa;reisen;matkustan,matkustat,matkustaa,matkustamme,matkustatte,matkustavat;matkustin,matkusti
kävellä;zu Fuß gehen;kävelen,kävelet,kävelee,kävelemme,kävelette,kävelevät;kävelin,käveli
nukkua;schlafen;nukun,nukut,nukkuu,nukumme,nukutte,nukkuvat;nukuin,nukkui
istua;sitzen;istun,istut,istuu,istumme,istutte,istuvat;istuin,istui
kuulla;hören;kuulen,kuulet,kuulee,kuulemme,kuulette,kuulevat;kuulin,kuuli
kuunnella;zuhören/anhören;kuuntelen,kuuntelet,kuuntelee,kuuntelemme,kuuntelette,kuuntelevat;kuuntelin,kuunteli
lukea;lesen;luen,luet,lukee,luemme,luette,lukevat;luin,luki
kirjoittaa;schreiben;kirjoitan,kirjoitat,kirjoittaa,kirjoitamme,kirjoitatte,kirjoittavat;kirjoitin,kirjoitti
katsoa;schauen;katson,katsot,katsoo,katsomme,katsotte,katsovat;katsoin,katsoi
auttaa;helfen;autan,autat,auttaa,autamme,autatte,auttavat;autoin,auttoi
löytää;finden;löydän,löydät,löytää,löydämme,löydätte,löytävät;löysin,löysi
etsiä;suchen;etsin,etsit,etsii,etsimme,etsitte,etsivät;etsin,etsi
pitää;halten/mögen/müssen;pidän,pidät,pitää,pidämme,pidätte,pitävät;pidin,piti
tykätä;mögen;tykkään,tykkäät,tykkää,tykkäämme,tykkäätte,tykkäävät;tykkäsin,tykkäsi
pelätä;Angst haben;pelkään,pelkäät,pelkää,pelkäämme,pelkäätte,pelkäävät;pelkäsin,pelkäsi
maksaa;bezahlen/kosten;maksan,maksat,maksaa,maksamme,maksatte,maksavat;maksoin,maksoi
leipoa;backen;leivon,leivot,leipoo,leivomme,leivotte,leipovat;leivoin,leipoi
aloittaa;anfangen;aloitan,aloitat,aloittaa,aloitamme,aloitatte,aloittavat;aloitin,aloitti
alkaa;beginnen;alan,alat,alkaa,alamme,alatte,alkavat;aloin,alkoi
yrittää;versuchen;yritän,yrität,yrittää,yritämme,yritätte,yrittävät;yritin,yritti
avata;öffnen;avaan,avaat,avaa,avaamme,avaatte,avaavat;avasin,avasi
laittaa;legen/stellen/machen;laitan,laitat,laittaa,laitamme,laitatte,laittavat;laitoin,laittoi
kasvaa;wachsen;kasvan,kasvat,kasvaa,kasvamme,kasvatte,kasvavat;kasvoin,kasvoi
sanoa;sagen;sanon,sanot,sanoo,sanomme,sanotte,sanovat;sanoin,sanoi
kertoa;erzählen;kerron,kerrot,kertoo,kerromme,kerrotte,kertovat;kerroin,kertoi
kysyä;fragen;kysyn,kysyt,kysyy,kysymme,kysytte,kysyvät;kysyin,kysyi
vastata;antworten;vastaan,vastaat,vastaa,vastaamme,vastaatte,vastaavat;vastasin,vastasi
ymmärtää;verstehen;ymmärrän,ymmärrät,ymmärtää,ymmärrämme,ymmärrätte,ymmärtävät;ymmärsin,ymmärsi
uskoa;glauben;uskon,uskot,uskoo,uskomme,uskotte,uskovat;uskoin,uskoi
luulla;glauben/vermuten;luulen,luulet,luulee,luulemme,luulette,luulevat;luulin,luuli
toivoa;hoffen;toivon,toivot,toivoo,toivomme,toivotte,toivovat;toivoin,toivoi
muistaa;sich erinnern;muistan,muistat,muistaa,muistamme,muistatte,muistavat;muistin,muisti
unohtaa;vergessen;unohdan,unohdat,unohtaa,unohdamme,unohdatte,unohtavat;unohdin,unohti
oppia;lernen;opin,opit,oppii,opimme,opitte,oppivat;opin,oppi
opiskella;studieren/lernen;opiskelen,opiskelet,opiskelee,opiskelemme,opiskelette,opiskelevat;opiskelin,opiskeli
opettaa;unterrichten;opetan,opetat,opettaa,opetamme,opetatte,opettavat;opetin,opetti
ajaa;fahren;ajan,ajat,ajaa,ajamme,ajatte,ajavat;ajoin,ajoi
käydä;hingehen/besuchen;käyn,käyt,käy,käymme,käytte,käyvät;kävin,kävi
lähteä;aufbrechen; lähden,lähdet,lähtee,lähdemme,lähdette,lähtevät;lähdin,lähti
palata;zurückkehren;palaan,palaat,palaa,palaamme,palaatte,palaavat;palasin,palasi
menettää;verlieren;menetän,menetät,menettää,menetämme,menetätte,menettävät;menetin,menetti
varastaa;stehlen;varastan,varastat,varastaa,varastamme,varastatte,varastavat;varastin,varasti
suudella;küssen;suutelen,suutelet,suutelee,suutelemme,suutelette,suutelevat;suutelin,suuteli
valehdella;lügen;valehtelen,valehtelet,valehtelee,valehtelemme,valehtelette,valehtelevat;valehtelin,valehteli
epäonnistua;scheitern;epäonnistun,epäonnistut,epäonnistuu,epäonnistumme,epäonnistutte,epäonnistuvat;epäonnistuin,epäonnistui
päättää;entscheiden/beenden;päätän,päätät,päättää,päätämme,päätätte,päättävät;päätin,päätti
päätyä;gelangen/enden;päädyn,päädyt,päätyy,päädymme,päädytte,päätyvät;päädyin,päätyi
muuttua;sich verändern;muutun,muutut,muuttuu,muutumme,muututte,muuttuvat;muutuin,muuttui
muuttaa;umziehen/verändern;muutan,muutat,muuttaa,muutamme,muutatte,muuttavat;muutin,muutti
juosta;rennen;juoksen,juokset,juoksee,juoksemme,juoksette,juoksevat;juoksin,juoksi
itkeä;weinen;itken,itket,itkee,itkemme,itkette,itkevät;itkin,itki
nauraa;lachen;nauran,naurat,nauraa,nauramme,nauratte,nauravat;nauroin,nauroi
laulaa;singen;laulan,laulat,laulaa,laulamme,laulatte,laulavat;lauloin,lauloi
tanssia;tanzen;tanssin,tanssit,tanssii,tanssimme,tanssitte,tanssivat;tanssin,tanssi
pelata;spielen;pelaan,pelaat,pelaa,pelaamme,pelaatte,pelaavat;pelasin,pelasi
soittaa;anrufen/ein Instrument spielen;soitan,soitat,soittaa,soitamme,soitatte,soittavat;soitin,soitti
syntyä;geboren werden/entstehen;synnyn,synnyt,syntyy,synnymme,synnytte,syntyvät;synnyin,syntyi
siivota;aufräumen/putzen;siivoan,siivoat,siivoaa,siivoamme,siivoatte,siivoavat;siivosin,siivosi
paastota;fasten;paastoan,paastoat,paastoaa,paastoamme,paastoatte,paastoavat;paastosin,paastosi
